userID,sessionID_x,Dsubj_optout_oo
3051.0,1.0,23.75
3053.0,1.0,36.25
3054.0,1.0,20.0
3055.0,1.0,0.0
3056.0,1.0,0.0
3057.0,1.0,33.75
3058.0,1.0,45.0
3059.0,1.0,8.75
3060.0,1.0,25.0
3061.0,1.0,46.25
3062.0,1.0,21.25
3063.0,1.0,16.25
3064.0,1.0,15.0
3065.0,1.0,28.75
3066.0,1.0,16.25
3067.0,1.0,67.5
3068.0,1.0,37.5
3069.0,1.0,22.5
3070.0,1.0,18.75
3071.0,1.0,21.25
3072.0,1.0,23.75
3073.0,1.0,28.75
3074.0,1.0,12.5
3075.0,1.0,47.5
3076.0,1.0,0.0
3077.0,1.0,20.0
3078.0,1.0,52.5
3051.0,2.0,16.25
3053.0,2.0,46.25
3054.0,2.0,13.75
3055.0,2.0,0.0
3056.0,2.0,12.5
3057.0,2.0,13.75
3058.0,2.0,26.25
3059.0,2.0,70.0
3060.0,2.0,16.25
3061.0,2.0,52.5
3062.0,2.0,7.5
3063.0,2.0,18.75
3064.0,2.0,12.5
3065.0,2.0,18.75
3066.0,2.0,17.5
3067.0,2.0,40.0
3068.0,2.0,20.0
3069.0,2.0,15.0
3070.0,2.0,18.75
3071.0,2.0,26.25
3072.0,2.0,42.5
3073.0,2.0,32.5
3074.0,2.0,18.75
3075.0,2.0,46.25
3076.0,2.0,0.0
3077.0,2.0,17.5
3078.0,2.0,28.75
3051.0,3.0,77.5
3053.0,3.0,48.75
3054.0,3.0,21.25
3055.0,3.0,17.5
3056.0,3.0,23.75
3057.0,3.0,20.0
3058.0,3.0,91.25
3059.0,3.0,65.0
3060.0,3.0,23.75
3061.0,3.0,62.5
3062.0,3.0,7.5
3063.0,3.0,17.5
3064.0,3.0,1.25
3065.0,3.0,23.75
3066.0,3.0,11.25
3067.0,3.0,48.75
3068.0,3.0,23.75
3069.0,3.0,20.0
3070.0,3.0,15.0
3071.0,3.0,27.5
3072.0,3.0,41.25
3073.0,3.0,36.25
3074.0,3.0,38.75
3075.0,3.0,60.0
3076.0,3.0,23.75
3077.0,3.0,8.75
3078.0,3.0,25.0
3051.0,4.0,18.75
3053.0,4.0,42.5
3054.0,4.0,16.25
3055.0,4.0,10.0
3056.0,4.0,57.5
3057.0,4.0,30.0
3058.0,4.0,18.75
3059.0,4.0,58.75
3060.0,4.0,21.25
3061.0,4.0,47.5
3062.0,4.0,7.5
3063.0,4.0,20.0
3064.0,4.0,3.75
3065.0,4.0,2.5
3066.0,4.0,17.5
3067.0,4.0,48.75
3068.0,4.0,17.5
3069.0,4.0,26.25
3070.0,4.0,10.0
3071.0,4.0,46.25
3072.0,4.0,33.75
3073.0,4.0,36.25
3074.0,4.0,23.75
3075.0,4.0,43.75
3076.0,4.0,25.0
3077.0,4.0,15.0
3078.0,4.0,27.5
3051.0,5.0,12.5
3053.0,5.0,35.0
3054.0,5.0,5.0
3055.0,5.0,28.75
3056.0,5.0,78.75
3057.0,5.0,32.5
3058.0,5.0,52.5
3059.0,5.0,73.75
3060.0,5.0,23.75
3061.0,5.0,56.25
3062.0,5.0,3.75
3063.0,5.0,20.0
3064.0,5.0,1.25
3065.0,5.0,16.25
3066.0,5.0,6.25
3067.0,5.0,42.5
3068.0,5.0,25.0
3069.0,5.0,42.5
3070.0,5.0,7.5
3071.0,5.0,46.25
3072.0,5.0,28.75
3073.0,5.0,35.0
3075.0,5.0,81.25
3076.0,5.0,15.0
3077.0,5.0,28.75
3078.0,5.0,36.25
3051.0,6.0,5.0
3053.0,6.0,40.0
3054.0,6.0,20.0
3055.0,6.0,41.25
3056.0,6.0,18.75
3057.0,6.0,27.5
3058.0,6.0,56.25
3059.0,6.0,75.0
3060.0,6.0,21.25
3061.0,6.0,52.5
3062.0,6.0,7.5
3063.0,6.0,17.5
3064.0,6.0,2.5
3065.0,6.0,12.5
3066.0,6.0,28.75
3067.0,6.0,38.75
3068.0,6.0,27.5
3069.0,6.0,11.25
3070.0,6.0,12.5
3071.0,6.0,35.0
3072.0,6.0,35.0
3073.0,6.0,51.25
3074.0,6.0,7.5
3075.0,6.0,47.5
3076.0,6.0,16.25
3077.0,6.0,25.0
3078.0,6.0,37.5
3051.0,7.0,13.75
3053.0,7.0,30.0
3054.0,7.0,21.25
3055.0,7.0,36.25
3056.0,7.0,35.0
3057.0,7.0,37.5
3058.0,7.0,32.5
3059.0,7.0,80.0
3060.0,7.0,18.75
3061.0,7.0,46.25
3062.0,7.0,11.25
3063.0,7.0,17.5
3064.0,7.0,11.25
3065.0,7.0,15.0
3066.0,7.0,3.75
3067.0,7.0,56.25
3068.0,7.0,20.0
3069.0,7.0,21.25
3070.0,7.0,11.25
3071.0,7.0,48.75
3072.0,7.0,21.25
3073.0,7.0,50.0
3074.0,7.0,17.5
3075.0,7.0,28.75
3076.0,7.0,28.75
3077.0,7.0,22.5
3078.0,7.0,26.25
3051.0,8.0,16.25
3053.0,8.0,41.25
3054.0,8.0,23.75
3055.0,8.0,30.0
3056.0,8.0,40.0
3057.0,8.0,33.75
3058.0,8.0,41.25
3059.0,8.0,73.75
3060.0,8.0,22.5
3061.0,8.0,25.0
3062.0,8.0,12.5
3063.0,8.0,26.25
3064.0,8.0,10.0
3065.0,8.0,31.25
3066.0,8.0,22.5
3067.0,8.0,57.50000000000001
3068.0,8.0,11.25
3069.0,8.0,70.0
3070.0,8.0,8.75
3071.0,8.0,37.5
3072.0,8.0,20.0
3073.0,8.0,47.5
3074.0,8.0,12.5
3075.0,8.0,41.25
3076.0,8.0,26.25
3077.0,8.0,25.0
3078.0,8.0,37.5
3051.0,9.0,11.25
3053.0,9.0,35.0
3054.0,9.0,17.5
3055.0,9.0,33.75
3056.0,9.0,18.75
3057.0,9.0,22.5
3058.0,9.0,30.0
3059.0,9.0,80.0
3060.0,9.0,25.0
3061.0,9.0,33.75
3062.0,9.0,6.25
3063.0,9.0,26.25
3064.0,9.0,3.75
3065.0,9.0,32.5
3066.0,9.0,13.75
3067.0,9.0,27.5
3068.0,9.0,7.5
3069.0,9.0,85.0
3070.0,9.0,13.75
3071.0,9.0,57.5
3072.0,9.0,26.25
3073.0,9.0,46.25
3074.0,9.0,6.25
3075.0,9.0,37.5
3076.0,9.0,25.0
3077.0,9.0,21.25
3078.0,9.0,46.25
3051.0,10.0,8.75
3053.0,10.0,27.5
3054.0,10.0,13.75
3055.0,10.0,33.75
3056.0,10.0,5.0
3057.0,10.0,23.75
3058.0,10.0,43.75
3059.0,10.0,76.25
3060.0,10.0,16.25
3061.0,10.0,45.0
3062.0,10.0,13.75
3063.0,10.0,18.75
3064.0,10.0,13.75
3065.0,10.0,20.0
3066.0,10.0,7.5
3067.0,10.0,35.0
3068.0,10.0,3.75
3070.0,10.0,3.75
3071.0,10.0,31.25
3072.0,10.0,25.0
3073.0,10.0,43.75
3074.0,10.0,7.5
3075.0,10.0,33.75
3076.0,10.0,22.5
3077.0,10.0,13.75
3078.0,10.0,21.25
3051.0,11.0,17.5
3053.0,11.0,17.5
3054.0,11.0,26.25
3055.0,11.0,31.25
3056.0,11.0,20.0
3057.0,11.0,5.0
3058.0,11.0,22.5
3059.0,11.0,82.5
3060.0,11.0,5.0
3061.0,11.0,40.0
3062.0,11.0,8.75
3063.0,11.0,33.75
3064.0,11.0,11.25
3065.0,11.0,13.75
3066.0,11.0,10.0
3067.0,11.0,43.75
3068.0,11.0,0.0
3069.0,11.0,78.75
3070.0,11.0,11.25
3071.0,11.0,26.25
3072.0,11.0,18.75
3073.0,11.0,40.0
3074.0,11.0,5.0
3075.0,11.0,45.0
3076.0,11.0,23.75
3077.0,11.0,16.25
3078.0,11.0,28.75
3051.0,12.0,15.0
3053.0,12.0,15.0
3054.0,12.0,33.75
3055.0,12.0,26.25
3056.0,12.0,6.25
3057.0,12.0,28.75
3058.0,12.0,40.0
3059.0,12.0,75.0
3060.0,12.0,13.75
3061.0,12.0,48.75
3062.0,12.0,7.5
3063.0,12.0,26.25
3064.0,12.0,7.5
3065.0,12.0,1.25
3066.0,12.0,17.5
3067.0,12.0,43.75
3068.0,12.0,0.0
3069.0,12.0,77.5
3070.0,12.0,7.5
3071.0,12.0,25.0
3072.0,12.0,13.75
3073.0,12.0,46.25
3074.0,12.0,6.25
3075.0,12.0,36.25
3076.0,12.0,25.0
3077.0,12.0,21.25
3078.0,12.0,25.0
3051.0,13.0,10.0
3053.0,13.0,32.5
3054.0,13.0,22.5
3055.0,13.0,22.5
3056.0,13.0,17.5
3057.0,13.0,16.25
3058.0,13.0,18.75
3059.0,13.0,87.5
3060.0,13.0,21.25
3061.0,13.0,47.5
3062.0,13.0,8.75
3063.0,13.0,40.0
3064.0,13.0,16.25
3065.0,13.0,15.0
3066.0,13.0,12.5
3067.0,13.0,32.5
3068.0,13.0,0.0
3069.0,13.0,87.5
3070.0,13.0,8.75
3071.0,13.0,42.5
3072.0,13.0,27.5
3073.0,13.0,37.5
3074.0,13.0,6.25
3075.0,13.0,30.0
3076.0,13.0,25.0
3077.0,13.0,17.5
3078.0,13.0,20.0
3051.0,14.0,15.0
3053.0,14.0,43.75
3054.0,14.0,23.75
3055.0,14.0,20.0
3056.0,14.0,12.5
3057.0,14.0,11.25
3058.0,14.0,47.5
3059.0,14.0,75.0
3060.0,14.0,17.5
3061.0,14.0,42.5
3062.0,14.0,6.25
3063.0,14.0,28.75
3064.0,14.0,12.5
3065.0,14.0,0.0
3066.0,14.0,16.25
3067.0,14.0,25.0
3068.0,14.0,0.0
3069.0,14.0,90.0
3070.0,14.0,2.5
3071.0,14.0,33.75
3072.0,14.0,20.0
3073.0,14.0,40.0
3074.0,14.0,8.75
3075.0,14.0,27.5
3076.0,14.0,15.0
3077.0,14.0,17.5
3078.0,14.0,11.25
3051.0,15.0,17.5
3053.0,15.0,22.5
3054.0,15.0,16.25
3055.0,15.0,23.75
3056.0,15.0,23.75
3057.0,15.0,7.5
3058.0,15.0,16.25
3059.0,15.0,73.75
3060.0,15.0,17.5
3061.0,15.0,16.25
3062.0,15.0,8.75
3063.0,15.0,23.75
3064.0,15.0,22.5
3065.0,15.0,40.0
3066.0,15.0,13.75
3067.0,15.0,23.75
3068.0,15.0,6.25
3069.0,15.0,78.75
3070.0,15.0,12.5
3071.0,15.0,17.5
3072.0,15.0,10.0
3073.0,15.0,33.75
3074.0,15.0,2.5
3075.0,15.0,22.5
3076.0,15.0,7.5
3077.0,15.0,20.0
3078.0,15.0,20.0
3051.0,16.0,11.25
3053.0,16.0,40.0
3054.0,16.0,15.0
3055.0,16.0,27.5
3056.0,16.0,16.25
3057.0,16.0,7.5
3058.0,16.0,35.0
3059.0,16.0,81.25
3060.0,16.0,13.75
3061.0,16.0,16.25
3062.0,16.0,3.75
3063.0,16.0,27.5
3064.0,16.0,20.0
3065.0,16.0,2.5
3066.0,16.0,6.25
3067.0,16.0,36.25
3068.0,16.0,0.0
3069.0,16.0,83.75
3070.0,16.0,3.75
3071.0,16.0,22.5
3072.0,16.0,18.75
3073.0,16.0,36.25
3074.0,16.0,3.75
3075.0,16.0,22.5
3076.0,16.0,23.75
3077.0,16.0,18.75
3078.0,16.0,26.25
3051.0,17.0,22.5
3053.0,17.0,32.5
3054.0,17.0,26.25
3055.0,17.0,35.0
3056.0,17.0,2.5
3057.0,17.0,15.0
3058.0,17.0,20.0
3059.0,17.0,70.0
3060.0,17.0,17.5
3061.0,17.0,23.75
3062.0,17.0,3.75
3063.0,17.0,23.75
3064.0,17.0,18.75
3065.0,17.0,18.75
3066.0,17.0,16.25
3067.0,17.0,25.0
3068.0,17.0,0.0
3069.0,17.0,76.25
3070.0,17.0,17.5
3071.0,17.0,23.75
3072.0,17.0,10.0
3073.0,17.0,33.75
3074.0,17.0,1.25
3075.0,17.0,26.25
3076.0,17.0,26.25
3077.0,17.0,20.0
3078.0,17.0,25.0
3051.0,18.0,13.75
3053.0,18.0,26.25
3054.0,18.0,10.0
3055.0,18.0,35.0
3056.0,18.0,41.25
3057.0,18.0,8.75
3058.0,18.0,38.75
3059.0,18.0,81.25
3060.0,18.0,3.75
3061.0,18.0,18.75
3062.0,18.0,13.75
3063.0,18.0,25.0
3064.0,18.0,17.5
3065.0,18.0,2.5
3066.0,18.0,2.5
3067.0,18.0,27.5
3068.0,18.0,0.0
3069.0,18.0,26.25
3070.0,18.0,7.5
3071.0,18.0,32.5
3072.0,18.0,13.75
3073.0,18.0,37.5
3074.0,18.0,0.0
3075.0,18.0,41.25
3076.0,18.0,27.5
3077.0,18.0,21.25
3078.0,18.0,20.0
3051.0,19.0,13.75
3053.0,19.0,30.0
3054.0,19.0,20.0
3055.0,19.0,20.0
3056.0,19.0,26.25
3057.0,19.0,18.75
3058.0,19.0,32.5
3059.0,19.0,76.25
3060.0,19.0,13.75
3061.0,19.0,27.5
3062.0,19.0,3.75
3063.0,19.0,23.75
3064.0,19.0,21.25
3065.0,19.0,31.25
3066.0,19.0,10.0
3067.0,19.0,36.25
3068.0,19.0,0.0
3069.0,19.0,67.5
3070.0,19.0,16.25
3071.0,19.0,12.5
3072.0,19.0,16.25
3073.0,19.0,38.75
3074.0,19.0,1.25
3075.0,19.0,46.25
3076.0,19.0,45.0
3077.0,19.0,23.75
3078.0,19.0,17.5
3051.0,20.0,22.5
3053.0,20.0,35.0
3054.0,20.0,16.25
3055.0,20.0,37.5
3056.0,20.0,8.75
3057.0,20.0,15.0
3058.0,20.0,17.5
3059.0,20.0,72.5
3060.0,20.0,36.25
3061.0,20.0,23.75
3062.0,20.0,1.25
3063.0,20.0,18.75
3064.0,20.0,7.5
3065.0,20.0,23.75
3066.0,20.0,3.75
3067.0,20.0,27.5
3068.0,20.0,0.0
3069.0,20.0,65.0
3070.0,20.0,7.5
3071.0,20.0,21.25
3072.0,20.0,16.25
3073.0,20.0,28.75
3074.0,20.0,0.0
3075.0,20.0,43.75
3076.0,20.0,21.25
3077.0,20.0,15.0
3078.0,20.0,25.0
3074.0,5.0,
3069.0,10.0,
